Acaryochloris_marina_MBIC11017_uid58167/NC_009925.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017136.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017137.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017117.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017125.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017126.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017127.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017128.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017129.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_22_uid158383/NC_017145.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017130.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017131.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017132.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017133.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017146.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017147.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_26_uid158531/NC_017148.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017102.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017103.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017111.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017112.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017134.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017135.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_32_uid158375/NC_017149.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetohalobium_arabaticum_DSM_5501_uid51423/NC_014378.gbk-            Bacteria; Firmicutes; Clostridia; Halanaerobiales;
Acholeplasma_laidlawii_PG_8A_uid58901/NC_010163.gbk-            Bacteria; Tenericutes; Mollicutes; Acholeplasmatales;
Achromobacter_xylosoxidans_A8_uid59899/NC_014640.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Achromobacter_xylosoxidans_A8_uid59899/NC_014641.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Achromobacter_xylosoxidans_A8_uid59899/NC_014642.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidaminococcus_fermentans_DSM_20731_uid43471/NC_013740.gbk-            Bacteria; Firmicutes; Negativicutes; Selenomonadales;
Acidaminococcus_intestini_RyC_MR95_uid74445/NC_016077.gbk-            Bacteria; Firmicutes; Negativicutes; Selenomonadales;
Acidimicrobidae_bacterium_YM16_304_uid193703/NC_020520.gbk-            Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales;
Acidimicrobium_ferrooxidans_DSM_10331_uid59215/NC_013124.gbk-            Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009467.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009468.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009469.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009470.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009471.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009472.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009473.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009474.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_cryptum_JF_5_uid58447/NC_009484.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015178.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015179.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015180.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015181.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015182.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015186.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015187.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015188.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidiphilium_multivorum_AIU301_uid63345/NC_015189.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acidithiobacillus_caldus_SM_1_uid70791/NC_015850.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_caldus_SM_1_uid70791/NC_015851.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_caldus_SM_1_uid70791/NC_015852.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_caldus_SM_1_uid70791/NC_015853.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_caldus_SM_1_uid70791/NC_015854.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_ferrivorans_SS3_uid67387/NC_015942.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_ferrooxidans_ATCC_23270_uid57649/NC_011761.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidithiobacillus_ferrooxidans_ATCC_53993_uid58613/NC_011206.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales;
Acidobacterium_capsulatum_ATCC_51196_uid59127/NC_012483.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015057.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015058.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015059.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015060.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015064.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidobacterium_MP5ACTX9_uid50551/NC_015065.gbk-            Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae;
Acidothermus_cellulolyticus_11B_uid58501/NC_008578.gbk-            Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales;
Acidovorax_avenae_ATCC_19860_uid42497/NC_015138.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_citrulli_AAC00_1_uid58429/NC_008752.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_ebreus_TPSY_uid59233/NC_011992.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_JS42_uid58427/NC_008765.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_JS42_uid58427/NC_008766.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_JS42_uid58427/NC_008782.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acidovorax_KKS102_uid176500/NC_018708.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Acinetobacter_ADP1_uid61597/NC_005966.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_1656_2_uid158677/NC_017162.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_1656_2_uid158677/NC_017163.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_1656_2_uid158677/NC_017164.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AB0057_uid59083/NC_011585.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AB0057_uid59083/NC_011586.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AB307_0294_uid59271/NC_011595.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ACICU_uid58765/NC_010605.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ACICU_uid58765/NC_010606.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ACICU_uid58765/NC_010611.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ATCC_17978_uid58731/NC_009083.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ATCC_17978_uid58731/NC_009084.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_ATCC_17978_uid58731/NC_009085.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AYE_uid61637/NC_010401.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AYE_uid61637/NC_010402.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AYE_uid61637/NC_010403.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AYE_uid61637/NC_010404.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_AYE_uid61637/NC_010410.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_D1279779_uid190222/NC_020525.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_D1279779_uid190222/NC_020547.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_MDR_TJ_uid162739/NC_017847.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_MDR_TJ_uid162739/NC_017848.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_MDR_TJ_uid162739/NC_020524.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_MDR_ZJ06_uid158685/NC_017171.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_MDR_ZJ06_uid158685/NC_017172.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_SDF_uid61601/NC_010395.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_SDF_uid61601/NC_010396.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_SDF_uid61601/NC_010398.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_SDF_uid61601/NC_010400.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_TCDC_AB0715_uid158679/NC_017165.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_TCDC_AB0715_uid158679/NC_017166.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_TCDC_AB0715_uid158679/NC_017387.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_baumannii_TYTH_1_uid176498/NC_018706.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_calcoaceticus_PHEA_2_uid83123/NC_016603.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Acinetobacter_oleivorans_DR1_uid50119/NC_014259.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;
Actinobacillus_pleuropneumoniae_serovar_3_JL03_uid58891/NC_010278.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_pleuropneumoniae_serovar_5b_L20_uid58789/NC_009053.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231/NC_010939.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231/NC_010940.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231/NC_010941.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231/NC_010942.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_succinogenes_130Z_uid58247/NC_009655.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinobacillus_suis_H91_0380_uid176363/NC_018690.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Actinoplanes_missouriensis_431_uid158169/NC_017093.gbk-            Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales;
Actinoplanes_N902_109_uid202219/NC_021191.gbk-            Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales;
Actinoplanes_SE50_110_uid162333/NC_017803.gbk-            Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales;
Actinosynnema_mirum_DSM_43827_uid58951/NC_013093.gbk-            Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales;
Advenella_kashmirensis_WT001_uid80859/NC_017964.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Advenella_kashmirensis_WT001_uid80859/NC_017965.gbk-            Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;
Aequorivita_sublithincola_DSM_14238_uid168181/NC_018013.gbk-            Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;
Aerococcus_urinae_ACS_120_V_Col10a_uid64757/NC_015278.gbk-            Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae;
Aeromonas_hydrophila_ATCC_7966_uid58617/NC_008570.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_004923.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_004924.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_004925.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_009348.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_009349.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_salmonicida_A449_uid58631/NC_009350.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aeromonas_veronii_B565_uid66323/NC_015424.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales;
Aggregatibacter_actinomycetemcomitans_ANH9381_uid80743/NC_016513.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Aggregatibacter_actinomycetemcomitans_D11S_1_uid41333/NC_013416.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Aggregatibacter_actinomycetemcomitans_D11S_1_uid41333/NC_013438.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Aggregatibacter_actinomycetemcomitans_D11S_1_uid41333/NC_014629.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989/NC_017846.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Aggregatibacter_aphrophilus_NJ8700_uid59407/NC_012913.gbk-            Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;
Agrobacterium_fabrum_C58_uid57865/NC_003062.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_fabrum_C58_uid57865/NC_003063.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_fabrum_C58_uid57865/NC_003064.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_fabrum_C58_uid57865/NC_003065.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_H13_3_uid63403/NC_015183.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_H13_3_uid63403/NC_015184.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_H13_3_uid63403/NC_015508.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_radiobacter_K84_uid58269/NC_011983.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_radiobacter_K84_uid58269/NC_011985.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_radiobacter_K84_uid58269/NC_011987.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_radiobacter_K84_uid58269/NC_011990.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_radiobacter_K84_uid58269/NC_011994.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_vitis_S4_uid58249/NC_011981.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_vitis_S4_uid58249/NC_011982.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
Agrobacterium_vitis_S4_uid58249/NC_011984.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales;
